Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,9s,9 W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/9,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
24,Tallon Griekspoor [NED],54,1.00,7902,50.0%,31,16-15,51.6%,22.0%,141,75-66,53.2%,1263,631-632,50.0%,01:35,36.3,38.9,37.6%,99,263,0.41,1.9,4.9,0.70,1.8,62.9%,161,256,0.41,1.8,4.7,0.67,1.8,33.6%,34.5%,9.7%,3.6%,26.1%,45.5%,15.6%,6.2,2.1,57.5,80.0,30-24,55.6%,66.5%,65.6%,414,10.5%,163,4.1%,11.2%,63.2%,75.6%,50.8%,57.3%,84.8%,6.3,2.1
25,Alejandro Davidovich Fokina [ESP],58,1.03,8724,50.7%,27,13-14,48.1%,18.6%,145,77-68,53.1%,1324,684-640,51.7%,01:42,40.8,40.7,43.8%,172,393,0.59,2.7,6.8,1.19,3.0,63.0%,254,403,0.61,2.8,6.9,1.03,2.6,39.2%,39.8%,6.8%,3.6%,30.2%,53.3%,25.9%,6.5,2.5,43.5,61.0,30-28,51.7%,61.8%,61.9%,165,3.7%,108,2.4%,7.2%,65.9%,66.6%,52.7%,56.7%,77.5%,6.7,2.5
26,Borna Coric [CRO],51,0.99,7269,49.7%,27,18-9,66.7%,21.6%,125,66-59,52.8%,1159,564-595,48.7%,01:42,41.8,43.1,36.4%,96,264,0.45,2.1,5.2,0.77,1.9,62.1%,180,290,0.50,2.3,5.7,0.88,2.2,34.5%,35.7%,8.5%,2.9%,27.5%,47.2%,16.5%,6.3,2.2,62.0,68.0,29-22,56.9%,65.2%,64.5%,244,6.8%,98,2.7%,7.0%,61.1%,75.0%,49.8%,53.6%,81.0%,6.2,2.2
27,Daniel Evans [GBR],49,1.02,6982,50.2%,11,03-8,27.3%,8.9%,124,61-63,49.2%,1102,555-547,50.4%,01:50,43.5,46.3,38.0%,117,308,0.56,2.5,6.3,0.94,2.4,63.3%,193,305,0.55,2.5,6.2,0.90,2.3,36.8%,37.8%,8.8%,3.7%,29.9%,49.0%,21.2%,6.4,2.4,52.5,58.4,23-26,46.9%,64.0%,64.3%,186,5.4%,122,3.6%,9.0%,60.6%,71.3%,52.7%,58.0%,79.6%,6.2,2.2
28,Sebastian Baez [ARG],54,1.04,8140,50.5%,23,9-14,39.1%,17.6%,131,70-61,53.4%,1245,637-608,51.2%,01:50,45.4,43.9,41.1%,167,406,0.65,3.1,7.5,1.27,3.1,58.6%,212,362,0.58,2.8,6.7,1.15,2.8,39.9%,39.5%,4.7%,3.7%,31.7%,53.4%,26.7%,6.6,2.6,73.0,99.6,30-24,55.6%,61.6%,61.9%,104,2.6%,85,2.1%,7.5%,71.5%,64.9%,53.3%,57.7%,75.8%,6.4,2.5
29,Alexander Bublik [KAZ],50,0.96,7194,49.6%,23,12-11,52.2%,17.8%,129,63-66,48.8%,1162,566-596,48.7%,01:32,35.5,38.2,40.3%,93,231,0.40,1.8,4.6,0.72,1.9,61.9%,172,278,0.48,2.2,5.6,0.82,2.1,33.5%,34.1%,7.9%,3.1%,25.6%,47.2%,16.0%,6.1,2.0,54.0,80.9,23-27,46.0%,65.1%,66.0%,553,15.1%,332,9.1%,22.4%,59.4%,78.3%,45.8%,59.0%,81.7%,6.3,2.2
30,Jiri Lehecka [CZE],62,1.00,8761,50.3%,30,18-12,60.0%,18.4%,163,93-70,57.1%,1397,707-690,50.6%,01:32,34.9,39.0,37.8%,137,362,0.52,2.2,5.8,0.84,2.2,62.3%,218,350,0.50,2.1,5.6,0.81,2.1,35.5%,35.9%,7.3%,3.6%,28.4%,47.5%,19.7%,6.2,2.2,49.0,68.2,38-24,61.3%,64.6%,64.1%,308,6.9%,135,3.0%,8.6%,64.8%,71.7%,51.6%,56.5%,81.2%,6.3,2.2
31,Denis Shapovalov [CAN],46,1.08,7042,50.9%,18,08-10,44.4%,14.5%,124,70-54,56.5%,1128,593-535,52.6%,01:37,36.0,38.1,41.0%,128,312,0.55,2.5,6.8,1.03,2.8,61.0%,153,251,0.45,2.0,5.5,0.79,2.1,36.8%,36.2%,4.3%,3.3%,29.9%,49.1%,22.7%,6.4,2.4,68.0,86.5,26-20,56.5%,65.9%,68.1%,348,10.2%,277,8.1%,19.3%,58.1%,76.7%,50.9%,63.0%,82.6%,6.1,2.1
32,Christopher Eubanks [USA],47,0.99,8223,50.2%,38,24-14,63.2%,28.6%,133,76-57,57.1%,1349,683-666,50.6%,01:54,40.2,39.0,35.7%,87,244,0.37,1.8,5.2,0.65,1.9,65.9%,170,258,0.38,1.9,5.5,0.66,1.9,31.3%,31.8%,9.3%,3.7%,23.2%,45.2%,13.1%,6.0,1.9,82.0,136.4,30-17,63.8%,68.3%,65.9%,569,13.5%,142,3.4%,10.8%,68.8%,74.7%,54.1%,60.7%,87.1%,6.1,2.0
33,Sebastian Korda [USA],40,1.08,6728,51.2%,27,13-14,48.1%,26.0%,104,62-42,59.6%,1033,547-486,53.0%,01:55,44.3,41.1,40.1%,114,284,0.55,2.7,7.1,1.10,2.9,64.4%,152,236,0.46,2.3,5.9,0.81,2.1,37.2%,37.2%,7.0%,4.0%,27.3%,51.9%,22.1%,6.6,2.5,39.0,67.8,25-15,62.5%,65.7%,64.0%,329,9.9%,95,2.9%,7.4%,61.4%,73.7%,53.0%,57.3%,83.8%,6.4,2.2
