Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,9s,9 W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/9,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
25,Sorana Cirstea [ROU],46,1.04,6580,51.0%,14,09-5,64.3%,13.1%,107,62-45,57.9%,989,520-469,52.6%,01:43,44.2,43.2,43.9%,163,371,0.76,3.5,8.1,1.52,3.5,58.1%,198,341,0.68,3.2,7.4,1.34,3.1,42.8%,41.9%,4.0%,4.5%,36.1%,53.9%,33.3%,6.6,2.8,45.0,51.1,28-18,60.9%,58.9%,59.2%,122,3.6%,98,2.9%,7.6%,61.4%,66.4%,47.2%,51.0%,71.4%,6.7,2.8
26,Anastasia Potapova [RUS],52,1.04,8548,50.9%,15,8-23,46.7%,11.3%,133,76-57,57.1%,1252,649-603,51.8%,01:48,42.2,39.4,43.8%,253,577,0.92,4.3,11.1,1.90,4.9,57.0%,308,540,0.86,4.1,10.4,1.74,4.5,46.4%,45.2%,3.0%,4.7%,39.5%,56.8%,40.5%,6.9,3.2,64.5,80.5,32-20,61.5%,55.5%,58.1%,98,2.3%,262,6.2%,14.9%,58.6%,63.3%,44.4%,52.2%,63.1%,6.8,3.0
27,Magda Linette [POL],52,1.02,7020,50.3%,12,04-8,33.3%,9.8%,123,61-62,49.6%,1060,535-525,50.5%,01:39,42.0,44.2,42.5%,170,400,0.76,3.3,7.7,1.38,3.3,50.6%,176,348,0.65,2.8,6.7,1.40,3.3,42.5%,40.8%,2.9%,4.9%,36.6%,52.7%,32.5%,6.7,2.9,54.0,116.7,27-25,51.9%,58.1%,58.1%,125,3.6%,89,2.5%,7.6%,66.6%,63.6%,47.2%,51.1%,68.0%,6.5,2.7
28,Anhelina Kalinina [UKR],51,1.03,7506,50.7%,15,06-9,40.0%,12.8%,117,64-53,54.7%,1109,575-534,51.8%,01:50,47.8,44.7,45.7%,203,444,0.80,3.8,8.7,1.74,4.0,56.4%,235,417,0.75,3.6,8.2,1.56,3.6,44.3%,44.0%,5.7%,5.0%,36.5%,56.7%,36.6%,6.7,3.0,68.0,123.4,29-22,56.9%,57.2%,59.0%,114,3.0%,198,5.3%,13.5%,61.0%,63.6%,47.1%,54.4%,67.1%,6.8,2.9
29,Elise Mertens [BEL],49,1.06,6825,51.2%,10,06-4,60.0%,8.5%,118,64-54,54.2%,1027,548-479,53.4%,01:40,41.6,43.2,47.1%,216,459,0.89,3.9,9.4,1.83,4.4,53.4%,204,382,0.75,3.2,7.8,1.51,3.6,46.3%,44.7%,3.2%,5.6%,38.6%,58.6%,41.8%,6.8,3.1,57.0,78.5,27-22,55.1%,56.4%,60.2%,181,5.4%,334,10.0%,22.0%,54.4%,67.6%,43.0%,55.1%,65.1%,6.5,2.8
30,Marie Bouzkova [CZE],46,1.02,6024,50.4%,11,05-6,45.5%,10.6%,104,54-50,51.9%,918,472-446,51.4%,01:41,44.8,46.4,43.8%,154,352,0.77,3.4,7.7,1.48,3.3,56.6%,184,325,0.71,3.1,7.1,1.36,3.1,42.5%,40.9%,3.0%,4.8%,35.6%,53.7%,33.6%,6.5,2.8,54.5,67.2,24-22,52.2%,58.2%,59.2%,76,2.5%,103,3.4%,10.5%,67.6%,62.9%,48.5%,54.2%,69.3%,6.6,2.8
31,Lin Zhu [CHN],55,1.04,7855,50.8%,15,09-6,60.0%,12.0%,125,70-55,56.0%,1169,604-565,51.7%,01:45,46.2,44.1,50.9%,226,444,0.75,3.6,8.1,1.81,4.1,57.4%,272,474,0.82,3.8,8.6,1.62,3.7,45.0%,43.9%,4.9%,5.8%,37.0%,58.9%,38.4%,6.6,3.0,74.0,94.3,32-23,58.2%,56.6%,57.4%,84,2.1%,122,3.1%,9.0%,65.8%,60.9%,48.2%,52.9%,65.2%,6.8,3.0
32,Elisabetta Cocciaretto [ITA],51,1.05,7228,51.2%,18,8-23,55.6%,15.1%,119,68-51,57.1%,1068,569-499,53.3%,01:39,42.5,42.0,47.1%,230,488,0.91,4.1,9.6,1.93,4.5,55.7%,244,438,0.82,3.7,8.6,1.63,3.8,46.6%,45.1%,2.9%,5.1%,41.2%,56.1%,43.0%,6.8,3.2,69.5,80.5,31-20,60.8%,55.7%,57.4%,60,1.7%,147,4.1%,12.2%,66.7%,58.7%,49.8%,56.7%,63.6%,6.8,3.0
33,Mayar Sherif [EGY],57,1.02,6932,50.4%,17,3-23,82.4%,12.8%,133,81-52,60.9%,1037,532-505,51.3%,01:40,42.8,49.2,40.5%,165,407,0.78,3.1,7.1,1.24,2.9,59.1%,217,367,0.71,2.8,6.4,1.13,2.6,42.1%,40.5%,2.6%,4.3%,37.1%,51.4%,31.7%,6.7,2.8,80.0,122.9,37-20,64.9%,58.9%,58.7%,112,3.3%,71,2.1%,7.6%,72.7%,61.8%,51.0%,55.1%,71.0%,6.7,2.7
34,Danielle Collins [USA],44,1.03,6138,50.7%,15,7-23,53.3%,14.3%,105,59-46,56.2%,936,486-450,51.9%,01:40,41.9,43.0,47.2%,153,324,0.69,3.1,7.4,1.46,3.5,58.3%,190,326,0.70,3.1,7.4,1.30,3.1,42.0%,40.9%,5.5%,5.6%,34.7%,53.7%,32.8%,6.4,2.7,32.5,50.9,24-20,54.5%,59.1%,61.5%,156,5.0%,223,7.1%,16.8%,57.6%,67.9%,47.1%,56.6%,71.0%,6.7,2.7
